date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:28	250588/250588	---M--	200	added ('OK')	text/plain	date:Mon,%2029%20Jan%202018%2015:52:58%20GMT	https://chefmasters.com.br/fonts/Cocogoose-Pro-Thin-trial.ttf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Cocogoose-Pro-Thin-trial.ttf	(from https://chefmasters.com.br/fonts/Cocogoose.css)
18:34:28	172212/172212	---M--	200	added ('OK')	text/plain	date:Mon,%2029%20Jan%202018%2015:52:40%20GMT	https://chefmasters.com.br/fonts/Cocogoose-Pro-trial.ttf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Cocogoose-Pro-trial.ttf	(from https://chefmasters.com.br/fonts/Cocogoose.css)
18:34:28	268148/268148	---M--	200	added ('OK')	text/plain	date:Mon,%2029%20Jan%202018%2015:52:59%20GMT	https://chefmasters.com.br/fonts/Cocogoose-Pro-Thin-Italic-trial.ttf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Cocogoose-Pro-Thin-Italic-trial.ttf	(from https://chefmasters.com.br/fonts/Cocogoose.css)
18:34:28	21404/21404	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2015:53:21%20GMT	https://chefmasters.com.br/fonts/XPLOR-Bold-Regular.otf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/XPLOR-Bold-Regular.otf	(from https://chefmasters.com.br/fonts/Xplor.css)
18:34:29	276524/276524	---M--	200	added ('OK')	text/plain	date:Mon,%2029%20Jan%202018%2015:52:48%20GMT	https://chefmasters.com.br/fonts/Cocogoose-Pro-Italic-trial.ttf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Cocogoose-Pro-Italic-trial.ttf	(from https://chefmasters.com.br/fonts/Cocogoose.css)
18:34:29	60252/60252	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2015:53:17%20GMT	https://chefmasters.com.br/fonts/Neoneon.otf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Neoneon.otf	(from https://chefmasters.com.br/fonts/Neoneon.css)
18:34:29	16784/16784	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2015:51:21%20GMT	https://chefmasters.com.br/fonts/Cookit-Regular.otf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Cookit-Regular.otf	(from https://chefmasters.com.br/fonts/Cookit.css)
18:34:29	35276/35276	---M--	200	added ('OK')	application/vnd.oasis.opendocument.formula-template	date:Mon,%2029%20Jan%202018%2015:51:10%20GMT	https://chefmasters.com.br/fonts/Arciform.otf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Arciform.otf	(from https://chefmasters.com.br/fonts/Arciform.css)
18:34:30	22928/22928	---M--	200	added ('OK')	text/plain	date:Fri,%2010%20Aug%202018%2018:15:37%20GMT	https://chefmasters.com.br/fonts/vw/vwtext-bold-webfont.woff2	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/vw/vwtext-bold-webfont.woff2	(from https://chefmasters.com.br/fonts/vw/vw.css)
18:34:30	29864/29864	---M--	200	added ('OK')	text/plain	date:Fri,%2010%20Aug%202018%2018:15:36%20GMT	https://chefmasters.com.br/fonts/vw/vwtext-bold-webfont.woff	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/vw/vwtext-bold-webfont.woff	(from https://chefmasters.com.br/fonts/vw/vw.css)
18:34:30	137568/137568	---M--	200	added ('OK')	text/plain	date:Mon,%2029%20Jan%202018%2015:51:42%20GMT	https://chefmasters.com.br/fonts/Century-Gothic.ttf	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/Century-Gothic.ttf	(from https://chefmasters.com.br/fonts/Century-Gothic.css)
18:34:30	24608/24608	---M--	200	added ('OK')	text/plain	date:Fri,%2010%20Aug%202018%2018:15:38%20GMT	https://chefmasters.com.br/fonts/vw/vwtext-bolditalic-webfont.woff2	C:/My%20Web%20Sites/https___chefmasters.com.br_/chefmasters.com.br/fonts/vw/vwtext-bolditalic-webfont.woff2	(from https://chefmasters.com.br/fonts/vw/vw.css)
